epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,584.13740,0.00100,165.58016,3.06662,4.42127,1.47905,2.16749,0.86665,0.75793,2.15289,3.88735
2.00000,1080525.21715,0.00100,161.76767,3.11242,5.53506,2.82166,1.98649,2.07275,0.70812,3.51975,3.49476
3.00000,1737.76395,0.00100,130.27569,3.09873,4.97736,3.13850,2.04454,2.07275,0.70812,3.51975,3.49476
4.00000,600.91876,0.00100,130.53755,3.29616,4.62929,1.32163,2.10963,2.07275,0.70812,3.51975,3.49476
5.00000,253.81207,0.00100,130.10778,2.83586,4.49401,2.22655,2.20487,2.07275,0.70812,3.51975,3.49476
6.00000,468.13301,0.00100,129.29756,3.10287,4.98421,2.12988,2.17277,2.07275,0.70812,3.51975,3.49476
7.00000,1328.77576,0.00100,159.13437,3.32718,5.05838,1.31830,2.05901,0.74761,0.74062,2.09040,3.89635
8.00000,285.77128,0.00100,129.94069,3.25856,4.74639,2.14395,2.18626,0.74761,0.74062,2.09040,3.89635
9.00000,305.20159,0.00100,129.36069,3.14118,4.87356,2.31762,2.11427,0.74761,0.74062,2.09040,3.89635
10.00000,1229.89946,0.00100,158.33549,3.07038,4.89139,2.15031,1.95690,1.31215,0.69358,2.85850,3.48145
11.00000,229.80833,0.00100,129.32270,3.18851,4.63300,1.60190,2.29687,1.31215,0.69358,2.85850,3.48145
12.00000,277915.87012,0.00100,129.79422,3.07921,4.72882,1.90359,2.24034,1.31215,0.69358,2.85850,3.48145
13.00000,3893.35464,0.00100,130.56647,3.14246,4.63260,1.46278,1.99779,1.31215,0.69358,2.85850,3.48145
14.00000,2462.39337,0.00100,161.13037,3.10800,4.48800,1.35799,1.87986,0.59798,0.73318,2.07333,3.45662
15.00000,1157.83012,0.00100,131.83614,3.12443,4.52874,3.47212,2.41942,0.59798,0.73318,2.07333,3.45662
16.00000,442.22267,0.00100,129.90939,3.17877,4.47741,1.52166,2.18166,0.59798,0.73318,2.07333,3.45662
17.00000,330.90338,0.00100,129.49829,3.27042,4.56976,1.79769,2.21210,0.59798,0.73318,2.07333,3.45662
18.00000,413.44188,0.00100,130.79701,3.06058,4.48105,1.89825,2.07731,0.59798,0.73318,2.07333,3.45662
19.00000,239.18233,0.00100,130.21300,3.20285,4.41926,1.65223,2.04864,0.59798,0.73318,2.07333,3.45662
20.00000,292.47184,0.00100,131.45646,3.10004,4.42267,2.81137,2.36844,0.59798,0.73318,2.07333,3.45662
