epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,1468.73515,0.00100,167.38326,2.93111,4.16675,2.06710,2.08484,1.34958,0.73893,2.71506,3.48775
2.00000,233.51219,0.00100,131.79367,3.08088,4.30362,1.71954,2.11925,1.34958,0.73893,2.71506,3.48775
3.00000,10400.34421,0.00100,163.35732,3.15721,4.83898,1.45818,1.95539,0.76223,0.71243,2.13381,3.67425
4.00000,2293.75373,0.00100,131.64389,3.07837,4.47828,1.46424,2.52575,0.76223,0.71243,2.13381,3.67425
5.00000,1796.42940,0.00100,129.81727,3.27801,4.72395,1.77828,2.32420,0.76223,0.71243,2.13381,3.67425
6.00000,306.89069,0.00100,130.65031,3.12728,4.56677,1.66907,2.05248,0.76223,0.71243,2.13381,3.67425
7.00000,2509.75660,0.00100,130.21026,3.14209,4.54080,2.23720,2.35350,0.76223,0.71243,2.13381,3.67425
8.00000,779.44878,0.00100,163.47597,3.18451,4.59940,1.51812,1.92039,0.86362,0.73441,2.19776,3.68228
9.00000,6966.94254,0.00100,130.59225,3.16232,4.53444,1.72741,1.91931,0.86362,0.73441,2.19776,3.68228
10.00000,302.82376,0.00100,162.10537,3.21973,4.75568,1.42314,1.91276,0.76079,0.69566,2.08569,3.50566
11.00000,180.69958,0.00100,130.59681,2.90442,4.06346,1.91940,1.95815,0.76079,0.69566,2.08569,3.50566
12.00000,406.81968,0.00100,131.09643,3.21432,4.69316,1.59063,2.17038,0.76079,0.69566,2.08569,3.50566
13.00000,2325.37759,0.00100,130.61780,3.25036,4.42814,2.14315,2.26540,0.76079,0.69566,2.08569,3.50566
14.00000,1220.04688,0.00100,131.05089,3.15591,4.63416,1.59942,2.07402,0.76079,0.69566,2.08569,3.50566
15.00000,187.19818,0.00100,131.97595,3.13068,4.43215,1.90258,2.00756,0.76079,0.69566,2.08569,3.50566
16.00000,232.74008,0.00100,130.55028,3.10215,4.43334,1.55475,1.95003,0.76079,0.69566,2.08569,3.50566
17.00000,195.29480,0.00100,130.95158,3.01403,4.50377,1.77038,2.20593,0.76079,0.69566,2.08569,3.50566
18.00000,3063.34227,0.00100,130.40019,3.21747,4.55011,1.62147,2.11540,0.76079,0.69566,2.08569,3.50566
19.00000,541.50648,0.00100,131.15806,3.12576,4.61259,1.56400,2.13259,0.76079,0.69566,2.08569,3.50566
20.00000,232.85524,0.00100,131.03960,3.05567,4.35432,1.45112,2.18341,0.76079,0.69566,2.08569,3.50566
21.00000,163.24837,0.00100,130.91688,2.95218,4.47857,1.59658,2.09242,0.76079,0.69566,2.08569,3.50566
22.00000,224.92403,0.00100,131.04094,3.04493,4.65609,1.99726,2.14555,0.76079,0.69566,2.08569,3.50566
23.00000,235.02427,0.00100,130.99179,3.08304,4.34232,1.50739,2.07773,0.76079,0.69566,2.08569,3.50566
24.00000,32361.18744,0.00070,130.80175,3.58191,5.68118,1.51263,2.34901,0.76079,0.69566,2.08569,3.50566
25.00000,292.99528,0.00070,131.00127,2.68301,3.68357,1.42233,1.97833,0.76079,0.69566,2.08569,3.50566
26.00000,921.58327,0.00070,159.79687,2.75688,4.43752,1.53571,1.82899,0.82377,0.59210,2.19617,3.33938
27.00000,285.87590,0.00070,161.72471,2.91436,4.08814,1.55700,1.81157,0.85347,0.62593,2.12763,3.45061
28.00000,207948.93633,0.00070,131.38764,2.88823,4.61727,1.38260,2.06607,0.85347,0.62593,2.12763,3.45061
29.00000,283.36330,0.00070,130.79175,2.67833,3.74539,1.64058,1.82504,0.85347,0.62593,2.12763,3.45061
30.00000,389.67746,0.00070,130.86007,3.18712,5.10813,1.55959,2.09020,0.85347,0.62593,2.12763,3.45061
31.00000,677.82975,0.00070,131.37395,2.51445,3.42494,1.70761,1.82142,0.85347,0.62593,2.12763,3.45061
32.00000,190.71206,0.00070,131.55280,2.80884,3.95868,1.34652,1.86133,0.85347,0.62593,2.12763,3.45061
33.00000,440.07776,0.00070,131.18586,2.96333,3.99610,1.77571,1.94024,0.85347,0.62593,2.12763,3.45061
34.00000,119.61969,0.00070,131.26343,2.74424,3.93008,1.92259,2.01376,0.85347,0.62593,2.12763,3.45061
35.00000,132.01050,0.00070,131.41221,2.78563,4.04105,1.73369,1.89762,0.85347,0.62593,2.12763,3.45061
36.00000,1632.27671,0.00070,130.98343,2.89616,3.94845,2.15441,1.87901,0.85347,0.62593,2.12763,3.45061
37.00000,159.70375,0.00070,130.97543,2.98596,4.67626,1.60387,2.02426,0.85347,0.62593,2.12763,3.45061
38.00000,127.11760,0.00070,162.45468,2.75926,3.79421,1.40315,1.75593,0.83134,0.61348,2.05534,3.52108
39.00000,115.10926,0.00070,131.26569,2.80763,3.84456,1.35979,1.89115,0.83134,0.61348,2.05534,3.52108
40.00000,124.16645,0.00070,130.84985,2.62419,3.37823,1.48396,1.95531,0.83134,0.61348,2.05534,3.52108
41.00000,292.51523,0.00070,162.22190,2.81798,3.93083,1.33603,1.67726,0.59078,0.56338,1.95428,3.59096
42.00000,284.83672,0.00070,130.82599,2.80386,4.05085,1.34416,1.94216,0.59078,0.56338,1.95428,3.59096
43.00000,425.07918,0.00070,131.48352,2.66224,3.80381,1.57094,2.08569,0.59078,0.56338,1.95428,3.59096
44.00000,141.46755,0.00070,130.79559,2.81385,4.03631,1.58652,1.83882,0.59078,0.56338,1.95428,3.59096
45.00000,125.70096,0.00070,131.73005,2.82483,3.90671,1.42293,1.87566,0.59078,0.56338,1.95428,3.59096
46.00000,177.18173,0.00070,133.98198,3.09864,4.69326,1.55896,1.92664,0.59078,0.56338,1.95428,3.59096
47.00000,375.05485,0.00070,131.00285,2.50626,3.26620,2.50151,1.97458,0.59078,0.56338,1.95428,3.59096
48.00000,281.83242,0.00070,131.50018,3.04121,4.86781,1.36109,1.84369,0.59078,0.56338,1.95428,3.59096
49.00000,502.03718,0.00070,132.26181,2.45498,3.33335,1.92409,2.26867,0.59078,0.56338,1.95428,3.59096
50.00000,188.01715,0.00070,131.50391,2.89676,4.18331,1.60777,1.98867,0.59078,0.56338,1.95428,3.59096
51.00000,150.83261,0.00070,131.37023,3.01137,4.50278,3.14784,1.96933,0.59078,0.56338,1.95428,3.59096
52.00000,134.71371,0.00070,131.19392,2.76123,3.57690,1.55577,1.92440,0.59078,0.56338,1.95428,3.59096
53.00000,142.02241,0.00070,167.73130,2.61459,3.71001,1.40305,1.63126,0.71258,0.57408,2.04268,3.36645
54.00000,236.87215,0.00070,131.40707,2.61105,3.66307,1.76380,1.94664,0.71258,0.57408,2.04268,3.36645
55.00000,393.03013,0.00070,131.15119,3.24193,4.96936,2.35014,1.96099,0.71258,0.57408,2.04268,3.36645
56.00000,491.04086,0.00070,131.30817,2.56563,3.33034,1.52189,2.01598,0.71258,0.57408,2.04268,3.36645
57.00000,149.40624,0.00070,130.62739,2.92974,4.43882,1.41719,1.83915,0.71258,0.57408,2.04268,3.36645
58.00000,278.32176,0.00070,131.03300,2.65684,3.74594,1.92759,1.84401,0.71258,0.57408,2.04268,3.36645
59.00000,235.12005,0.00070,131.86090,2.84307,4.10722,1.32060,1.84378,0.71258,0.57408,2.04268,3.36645
60.00000,242.12157,0.00070,131.10613,2.75434,4.00697,1.33363,1.70461,0.71258,0.57408,2.04268,3.36645
61.00000,186.35224,0.00070,130.95478,2.90181,4.14812,1.39093,1.87317,0.71258,0.57408,2.04268,3.36645
62.00000,155.20946,0.00070,131.02115,2.90212,4.22005,1.44414,1.93461,0.71258,0.57408,2.04268,3.36645
63.00000,126.90474,0.00070,131.75864,2.96944,4.41922,1.45083,2.12603,0.71258,0.57408,2.04268,3.36645
64.00000,323.44771,0.00070,130.20923,3.03573,4.56840,1.49277,1.82678,0.71258,0.57408,2.04268,3.36645
