epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,137.73794,0.00100,156.94820,2.91335,4.01833,3.48610,2.03541,2.70255,0.56983,4.11204,3.41859
2.00000,193.82408,0.00100,145.75875,2.75794,4.15428,3.11179,1.93337,2.45811,0.49725,3.74267,3.55454
3.00000,256.44460,0.00100,151.70418,2.87112,3.98386,1.96524,1.95859,1.21530,0.55298,2.57592,3.35715
4.00000,150.61432,0.00100,118.42885,2.86075,4.09629,1.76709,2.03639,1.21530,0.55298,2.57592,3.35715
5.00000,130.37317,0.00100,122.36161,2.88214,4.09644,2.39029,2.09449,1.21530,0.55298,2.57592,3.35715
6.00000,143.96002,0.00100,148.55982,2.84735,4.13112,2.15589,1.86671,1.46374,0.47447,2.74908,3.33436
7.00000,119.40027,0.00100,154.05486,2.76625,3.88827,1.55557,1.85665,0.81465,0.51341,2.14062,3.52530
8.00000,118.15315,0.00100,146.12670,2.77077,3.81866,1.31751,1.83966,0.59007,0.56276,1.93113,3.31238
9.00000,135.52215,0.00100,117.86215,2.90697,4.06351,1.41261,2.01418,0.59007,0.56276,1.93113,3.31238
10.00000,150.63353,0.00100,118.27035,2.80123,4.06696,1.53554,2.03326,0.59007,0.56276,1.93113,3.31238
11.00000,121.57745,0.00100,117.58229,2.92522,4.17637,1.57275,2.17566,0.59007,0.56276,1.93113,3.31238
12.00000,114.65438,0.00100,117.21805,2.84059,4.08897,1.57608,1.83625,0.59007,0.56276,1.93113,3.31238
13.00000,1188.58279,0.00100,117.80647,2.98509,4.13012,1.76000,1.87284,0.59007,0.56276,1.93113,3.31238
14.00000,421.06051,0.00100,117.41451,3.06929,4.09657,1.55136,2.11702,0.59007,0.56276,1.93113,3.31238
15.00000,694.55444,0.00100,148.39050,3.09808,4.15988,1.29340,1.80953,0.56518,0.58264,1.95815,3.47243
16.00000,150.07671,0.00100,118.11061,3.08784,4.34044,1.58150,2.03107,0.56518,0.58264,1.95815,3.47243
17.00000,128.41803,0.00100,118.14502,3.17934,4.66899,1.35762,1.95886,0.56518,0.58264,1.95815,3.47243
18.00000,146.38701,0.00100,117.94312,2.76757,3.34326,2.10125,1.78454,0.56518,0.58264,1.95815,3.47243
19.00000,157.84857,0.00100,117.89795,2.84546,4.10333,1.86957,1.96769,0.56518,0.58264,1.95815,3.47243
20.00000,1133.67980,0.00100,118.10397,2.96091,4.16546,1.99209,1.81416,0.56518,0.58264,1.95815,3.47243
21.00000,829.04283,0.00100,117.79041,3.05515,4.35719,1.34419,1.90629,0.56518,0.58264,1.95815,3.47243
22.00000,114.85556,0.00100,118.18836,2.79374,3.90612,2.56076,2.10322,0.56518,0.58264,1.95815,3.47243
23.00000,119.78356,0.00100,117.86999,2.92900,4.16427,1.46232,1.97931,0.56518,0.58264,1.95815,3.47243
24.00000,130.75978,0.00100,117.80502,2.89492,4.17340,1.54665,1.87828,0.56518,0.58264,1.95815,3.47243
25.00000,122.72647,0.00100,117.93272,2.90765,4.06630,2.03465,1.82797,0.56518,0.58264,1.95815,3.47243
26.00000,156.81116,0.00100,118.44474,2.92836,4.17391,1.57581,2.10624,0.56518,0.58264,1.95815,3.47243
27.00000,629.18913,0.00100,117.76883,2.92342,4.13836,1.47501,1.98828,0.56518,0.58264,1.95815,3.47243
28.00000,216.71979,0.00100,148.12130,2.89549,4.06553,1.43046,1.66178,0.73929,0.54481,2.10520,3.39090
29.00000,107.02753,0.00100,118.32657,2.90986,4.07455,2.76607,1.99732,0.73929,0.54481,2.10520,3.39090
30.00000,121.54507,0.00100,117.74650,2.95541,4.07341,2.17828,2.06628,0.73929,0.54481,2.10520,3.39090
31.00000,105.49034,0.00100,117.72887,2.95602,4.20991,1.68369,2.11953,0.73929,0.54481,2.10520,3.39090
32.00000,185.00906,0.00100,118.46099,3.01504,4.41494,1.24933,1.77272,0.73929,0.54481,2.10520,3.39090
33.00000,108.79787,0.00100,119.32988,2.87908,4.00718,1.39963,1.91241,0.73929,0.54481,2.10520,3.39090
34.00000,153.90006,0.00100,118.34553,3.12824,4.62254,1.45367,2.18068,0.73929,0.54481,2.10520,3.39090
35.00000,155.47789,0.00100,117.69267,2.79074,3.66073,1.48169,2.01080,0.73929,0.54481,2.10520,3.39090
36.00000,108.08863,0.00100,117.79434,2.87905,4.14227,1.47193,2.25977,0.73929,0.54481,2.10520,3.39090
37.00000,313.40696,0.00100,118.13175,2.88407,3.99542,1.74507,1.95341,0.73929,0.54481,2.10520,3.39090
38.00000,106.53153,0.00100,118.03573,2.97194,4.28437,2.42599,1.89897,0.73929,0.54481,2.10520,3.39090
39.00000,114.82777,0.00100,117.39741,2.85552,3.86517,2.04492,1.82332,0.73929,0.54481,2.10520,3.39090
40.00000,110.73658,0.00100,117.80829,2.87201,4.23189,1.26978,1.91535,0.73929,0.54481,2.10520,3.39090
41.00000,161.37336,0.00100,118.26787,2.96946,4.15038,1.35295,1.97203,0.73929,0.54481,2.10520,3.39090
42.00000,116.58742,0.00100,118.23684,3.08469,4.13685,1.49721,2.03676,0.73929,0.54481,2.10520,3.39090
43.00000,158.67544,0.00100,117.73573,3.11020,4.52429,2.04702,1.87264,0.73929,0.54481,2.10520,3.39090
44.00000,1830.46176,0.00100,119.22988,2.90310,3.65070,1.32909,1.96468,0.73929,0.54481,2.10520,3.39090
45.00000,197177.47057,0.00100,117.57704,3.08289,4.56835,1.43635,1.77037,0.73929,0.54481,2.10520,3.39090
46.00000,169.91983,0.00100,117.57352,3.07050,4.32978,1.48501,1.96341,0.73929,0.54481,2.10520,3.39090
47.00000,156.80402,0.00100,118.01768,3.04923,4.08769,1.62405,1.98815,0.73929,0.54481,2.10520,3.39090
48.00000,189.12500,0.00100,118.49643,2.79138,3.74661,1.96079,1.75753,0.73929,0.54481,2.10520,3.39090
49.00000,111.40695,0.00100,117.98851,3.26929,4.90279,2.63861,1.92729,0.73929,0.54481,2.10520,3.39090
50.00000,97.52374,0.00070,117.27743,2.63283,3.24792,1.25270,1.88609,0.73929,0.54481,2.10520,3.39090
51.00000,90.01498,0.00070,117.75638,2.72013,3.95905,2.34941,1.93562,0.73929,0.54481,2.10520,3.39090
52.00000,94.40908,0.00070,117.80601,2.87628,4.07216,1.43991,1.69710,0.73929,0.54481,2.10520,3.39090
53.00000,79.89374,0.00070,146.37419,2.49211,3.26991,1.18302,1.66980,0.55437,0.47735,1.83951,3.37221
54.00000,81.83437,0.00070,117.43070,2.89285,4.08415,1.72542,1.81460,0.55437,0.47735,1.83951,3.37221
55.00000,73.34133,0.00070,117.77525,2.64531,3.71322,1.31786,1.74326,0.55437,0.47735,1.83951,3.37221
56.00000,96.40871,0.00070,117.55896,2.59076,3.65548,2.39176,1.85075,0.55437,0.47735,1.83951,3.37221
57.00000,82.48198,0.00070,118.34001,2.96098,4.34635,1.87562,1.83562,0.55437,0.47735,1.83951,3.37221
58.00000,74.92735,0.00070,117.25330,2.57509,3.48540,2.03616,1.72054,0.55437,0.47735,1.83951,3.37221
59.00000,72.15753,0.00070,117.48774,2.64585,3.71038,1.27913,1.84048,0.55437,0.47735,1.83951,3.37221
60.00000,69.82801,0.00070,117.89317,2.90769,4.40626,1.34106,1.83996,0.55437,0.47735,1.83951,3.37221
61.00000,78.47282,0.00070,118.08521,2.48019,3.01302,1.51677,1.77573,0.55437,0.47735,1.83951,3.37221
62.00000,72.82721,0.00070,118.08795,2.83273,3.90987,1.43977,1.67945,0.55437,0.47735,1.83951,3.37221
63.00000,77.24922,0.00070,117.30562,2.82270,4.23250,1.52928,1.92517,0.55437,0.47735,1.83951,3.37221
64.00000,72.86709,0.00070,117.90169,2.50255,3.12155,1.47126,1.97051,0.55437,0.47735,1.83951,3.37221
65.00000,67.96019,0.00070,117.90413,2.87881,4.28202,1.85147,1.81109,0.55437,0.47735,1.83951,3.37221
66.00000,78.02424,0.00070,117.61005,2.46313,2.96584,2.02157,1.74944,0.55437,0.47735,1.83951,3.37221
67.00000,69.46349,0.00070,117.72835,2.67821,3.79017,1.47180,1.71157,0.55437,0.47735,1.83951,3.37221
68.00000,68.47060,0.00070,117.90632,2.68935,3.56926,1.47785,1.71322,0.55437,0.47735,1.83951,3.37221
69.00000,72.93778,0.00070,119.68228,2.81143,4.02579,1.10465,1.77995,0.55437,0.47735,1.83951,3.37221
70.00000,209.02777,0.00070,117.77548,2.66259,3.64514,1.22317,1.75647,0.55437,0.47735,1.83951,3.37221
71.00000,77.17350,0.00070,118.77524,2.80823,3.91473,1.34990,1.74357,0.55437,0.47735,1.83951,3.37221
72.00000,69.74849,0.00070,117.87575,2.50906,3.36242,1.21615,1.88644,0.55437,0.47735,1.83951,3.37221
73.00000,68.24455,0.00070,117.61981,2.92164,4.54858,1.37969,1.67536,0.55437,0.47735,1.83951,3.37221
74.00000,272.87533,0.00070,118.09286,2.55099,3.15934,1.92146,1.86815,0.55437,0.47735,1.83951,3.37221
75.00000,96.41064,0.00070,117.89174,2.56366,3.43312,1.66421,1.98627,0.55437,0.47735,1.83951,3.37221
76.00000,72.85561,0.00070,118.29878,2.76592,3.84237,1.34231,1.82234,0.55437,0.47735,1.83951,3.37221
77.00000,74.04904,0.00070,117.65323,2.64530,3.58749,1.58865,1.69490,0.55437,0.47735,1.83951,3.37221
78.00000,69.15213,0.00070,117.92794,3.18610,5.14798,1.47177,1.85452,0.55437,0.47735,1.83951,3.37221
79.00000,72.70853,0.00070,150.64112,2.24607,2.29625,1.33551,1.64806,0.64238,0.41102,1.96800,3.18350
80.00000,76.28348,0.00070,146.42140,3.07551,4.82781,1.34761,1.64323,0.61194,0.48751,1.98921,3.33982
81.00000,94.40528,0.00070,118.09221,2.19147,2.60400,1.55132,1.82360,0.61194,0.48751,1.98921,3.33982
82.00000,74.49476,0.00070,118.76465,2.68436,3.74969,1.49081,1.70846,0.61194,0.48751,1.98921,3.33982
83.00000,82.82678,0.00070,117.67895,2.85867,3.84314,1.68981,1.77732,0.61194,0.48751,1.98921,3.33982
84.00000,72.55980,0.00070,117.65199,2.67577,3.85846,1.57526,1.95502,0.61194,0.48751,1.98921,3.33982
85.00000,71.97292,0.00070,119.08548,2.62659,3.64306,1.63210,1.65191,0.61194,0.48751,1.98921,3.33982
86.00000,92.74316,0.00070,118.30847,2.69576,3.56988,1.40862,1.81803,0.61194,0.48751,1.98921,3.33982
87.00000,73.80231,0.00070,119.96636,2.67482,3.74917,1.82636,1.71444,0.61194,0.48751,1.98921,3.33982
