epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,6837.73357,0.00100,247.86680,14.86962,7.19706,5.27006,3.86041,4.61943,2.96995,5.31535,3.84952
2.00000,1203.72799,0.00100,250.41056,4.95834,3.69941,4.99279,2.85900,4.79998,2.00250,5.01157,2.92353
3.00000,867.06125,0.00100,250.10148,4.10032,2.99888,3.04592,2.91278,3.12681,2.18115,3.05264,2.94218
4.00000,583.17637,0.00100,250.24006,3.63977,2.56351,3.12224,2.27189,2.77523,1.84642,3.11717,2.29295
5.00000,4868.94352,0.00100,247.40017,3.46582,2.43010,2.42346,2.21181,2.14239,1.71235,2.41452,2.19538
6.00000,428.46407,0.00100,250.49809,3.06909,2.13633,6.34736,2.00767,7.07226,1.36456,6.39295,2.00320
7.00000,426.15637,0.00100,246.17502,2.98260,2.04779,2.12659,1.83684,1.87371,1.44381,2.14638,1.85480
8.00000,358.01705,0.00100,234.68405,2.68947,1.91591,5.21051,1.81749,0.00000,0.00000,0.00000,0.00000
9.00000,385.94317,0.00100,237.11012,2.55884,1.83465,3.10831,1.80128,0.00000,0.00000,0.00000,0.00000
10.00000,386.83026,0.00100,241.74141,2.51769,1.71604,3.39171,1.58381,3.18888,1.04288,3.43694,1.60904
11.00000,294.90170,0.00100,241.74769,2.49671,1.68816,2.86398,1.47309,2.63592,1.17547,2.89503,1.47909
12.00000,243.33582,0.00100,239.32938,2.26838,1.61717,1.48965,1.39995,1.35828,0.98405,1.48604,1.41089
13.00000,233.42290,0.00100,233.49829,2.19148,1.55065,2.36791,1.50326,0.00000,0.00000,0.00000,0.00000
14.00000,214.09068,0.00100,234.65695,2.16940,1.52936,3.41321,1.61850,0.00000,0.00000,0.00000,0.00000
15.00000,212.32253,0.00100,231.54245,2.18450,1.50213,1.32214,1.45912,0.00000,0.00000,0.00000,0.00000
16.00000,212.98870,0.00100,234.20493,2.05856,1.45429,1.55511,1.42766,0.00000,0.00000,0.00000,0.00000
17.00000,189.79434,0.00100,236.78140,2.13421,1.40607,1.55762,1.48485,0.00000,0.00000,0.00000,0.00000
18.00000,189.26049,0.00100,243.90869,2.04370,1.39548,1.07054,1.34871,0.84530,1.04678,1.04646,1.33088
19.00000,174.33412,0.00100,245.47689,1.98985,1.35856,2.77908,1.16295,2.62533,0.93566,2.78320,1.16338
20.00000,188.54053,0.00100,246.39147,2.05084,1.36169,2.21458,1.14513,2.57973,0.91615,2.21838,1.16341
21.00000,174.85756,0.00100,236.59857,1.88812,1.30980,3.22251,1.30713,0.00000,0.00000,0.00000,0.00000
22.00000,167.54139,0.00100,236.99219,1.90927,1.29395,1.31030,1.25377,0.00000,0.00000,0.00000,0.00000
23.00000,177.75967,0.00100,237.31527,1.91695,1.28364,1.17161,1.38711,0.00000,0.00000,0.00000,0.00000
24.00000,150.78234,0.00100,240.29023,1.79664,1.23814,1.42342,1.26385,0.00000,0.00000,0.00000,0.00000
25.00000,129.22057,0.00100,237.79441,1.69182,1.20307,2.54498,1.37744,0.00000,0.00000,0.00000,0.00000
26.00000,140.54380,0.00100,242.88264,1.81315,1.20707,0.96121,1.18418,0.88788,0.89600,0.96701,1.15556
27.00000,134.88083,0.00100,235.70867,1.69658,1.18300,1.40434,1.23241,0.00000,0.00000,0.00000,0.00000
28.00000,134.52676,0.00100,238.09443,1.76637,1.17170,1.08519,1.31218,0.00000,0.00000,0.00000,0.00000
29.00000,136.10424,0.00100,248.34687,1.80872,1.16562,1.90401,1.02787,1.91241,0.72659,1.94230,1.05989
30.00000,135.47021,0.00100,240.32834,1.67462,1.15252,1.30142,1.14258,0.00000,0.00000,0.00000,0.00000
31.00000,130.98680,0.00100,237.58248,1.55630,1.14098,1.54325,1.39132,0.00000,0.00000,0.00000,0.00000
32.00000,121.13020,0.00100,248.44594,1.69981,1.13749,1.16945,1.05392,1.06805,0.78257,1.16695,1.15662
33.00000,129.39883,0.00100,233.62848,1.59322,1.09835,1.42587,1.12578,0.00000,0.00000,0.00000,0.00000
34.00000,115.62673,0.00100,234.34260,1.66214,1.09101,0.86656,1.16550,0.00000,0.00000,0.00000,0.00000
35.00000,108.82691,0.00100,233.29276,1.58033,1.08730,1.57810,1.30176,0.00000,0.00000,0.00000,0.00000
36.00000,105.31048,0.00100,236.55900,1.60639,1.05774,1.26958,1.21304,0.00000,0.00000,0.00000,0.00000
37.00000,117.45851,0.00100,233.48326,1.56011,1.06810,1.11115,1.10868,0.00000,0.00000,0.00000,0.00000
38.00000,101.95697,0.00100,240.09182,1.56690,1.04905,0.99289,0.88139,0.68582,0.69825,0.98076,0.89008
39.00000,110.38568,0.00100,234.98590,1.61993,1.06286,1.45037,1.13249,0.00000,0.00000,0.00000,0.00000
40.00000,97.83110,0.00100,228.97990,1.43436,1.01475,1.34238,0.96171,0.00000,0.00000,0.00000,0.00000
41.00000,102.57343,0.00100,234.95569,1.53806,1.03404,0.99785,1.05461,0.00000,0.00000,0.00000,0.00000
42.00000,101.94788,0.00100,231.77071,1.46239,1.01188,0.96711,1.07673,0.00000,0.00000,0.00000,0.00000
43.00000,92.92367,0.00100,232.33218,1.44600,1.00643,1.11289,1.01072,0.00000,0.00000,0.00000,0.00000
44.00000,94.60721,0.00100,229.25404,1.51194,0.99492,3.31932,1.08020,0.00000,0.00000,0.00000,0.00000
45.00000,204.79374,0.00100,229.17443,1.44938,0.99780,3.68873,1.13154,0.00000,0.00000,0.00000,0.00000
46.00000,248.39737,0.00100,245.49342,1.44707,1.00077,1.21417,0.85279,0.94430,0.58156,1.20301,0.84293
47.00000,92.23435,0.00100,236.14302,1.45772,0.97742,1.02065,0.95716,0.00000,0.00000,0.00000,0.00000
48.00000,89.42887,0.00100,230.73395,1.40855,0.97483,0.89859,1.02821,0.00000,0.00000,0.00000,0.00000
49.00000,92.93280,0.00100,235.51260,1.44988,0.97368,2.26427,0.94699,0.00000,0.00000,0.00000,0.00000
50.00000,76.10702,0.00100,235.63696,1.49869,0.94316,1.02194,0.94307,0.00000,0.00000,0.00000,0.00000
51.00000,102.05258,0.00100,231.06283,1.42378,0.97548,1.10933,0.90397,0.00000,0.00000,0.00000,0.00000
52.00000,100.59338,0.00100,233.83346,1.49630,0.98273,1.65934,0.87945,0.00000,0.00000,0.00000,0.00000
53.00000,659.49557,0.00100,246.23153,1.44323,1.00273,0.72837,0.87298,0.48930,0.58371,0.74551,0.91847
54.00000,88.52310,0.00100,247.20671,1.35395,0.94469,1.22821,0.82375,1.02829,0.63807,1.23458,0.84459
55.00000,85.45598,0.00100,230.38102,1.37092,0.94783,1.36210,0.98781,0.00000,0.00000,0.00000,0.00000
56.00000,80.87357,0.00100,233.73722,1.39772,0.92210,1.30129,0.93775,0.00000,0.00000,0.00000,0.00000
57.00000,948125443.74466,0.00100,237.65770,162.91188,176.34217,86.98643,32.55589,0.00000,0.00000,0.00000,0.00000
